market,date,trades,spent,sides,is_dual
"Bitcoin Up or Down - May 17, 11:10AM-11:15AM ET",2026-05-17,2,100.70,BUY Up|BUY Down,YES
"Bitcoin Up or Down - May 17, 10:55AM-11:00AM ET",2026-05-17,2,256.42,BUY Up|BUY Down,YES
"Bitcoin Up or Down - May 17, 11:05AM-11:10AM ET",2026-05-17,2,148.63,BUY Up|BUY Down,YES
"Bitcoin Up or Down - May 17, 11:00AM-11:05AM ET",2026-05-17,2,83.92,BUY Up|BUY Down,YES
"Bitcoin Up or Down - May 17, 10:50AM-10:55AM ET",2026-05-17,2,257.93,BUY Up|BUY Down,YES
"Bitcoin Up or Down - May 17, 10:45AM-10:50AM ET",2026-05-17,2,471.77,BUY Up|BUY Down,YES
"Bitcoin Up or Down - May 17, 10:40AM-10:45AM ET",2026-05-17,2,198.47,BUY Up|BUY Down,YES
"Bitcoin Up or Down - May 17, 10:35AM-10:40AM ET",2026-05-17,2,383.25,BUY Up|BUY Down,YES
"Bitcoin Up or Down - May 17, 10:30AM-10:35AM ET",2026-05-17,2,532.92,BUY Up|BUY Down,YES
"Bitcoin Up or Down - May 17, 10:25AM-10:30AM ET",2026-05-17,2,336.05,BUY Up|BUY Down,YES
"Bitcoin Up or Down - May 17, 10:20AM-10:25AM ET",2026-05-17,2,248.63,BUY Up|BUY Down,YES
"Bitcoin Up or Down - May 15, 3:05PM-3:10PM ET",2026-05-15,2,18.99,BUY Up|BUY Down,YES
"Bitcoin Up or Down - May 15, 2:55PM-3:00PM ET",2026-05-15,2,120.40,BUY Up|BUY Down,YES
"Bitcoin Up or Down - May 15, 2:50PM-2:55PM ET",2026-05-15,2,160.80,BUY Up|BUY Down,YES
"Bitcoin Up or Down - May 15, 2:45PM-2:50PM ET",2026-05-15,2,97.42,BUY Up|BUY Down,YES
"Bitcoin Up or Down - May 15, 2:40PM-2:45PM ET",2026-05-15,2,151.47,BUY Up|BUY Down,YES
"Bitcoin Up or Down - May 15, 2:35PM-2:40PM ET",2026-05-15,2,198.78,BUY Up|BUY Down,YES
"Bitcoin Up or Down - May 15, 2:30PM-2:35PM ET",2026-05-15,2,160.00,BUY Up|BUY Down,YES
"Bitcoin Up or Down - May 15, 2:25PM-2:30PM ET",2026-05-15,2,159.20,BUY Up|BUY Down,YES
"Bitcoin Up or Down - May 15, 2:15PM-2:20PM ET",2026-05-15,2,114.74,BUY Up|BUY Down,YES
"Bitcoin Up or Down - May 15, 2:05PM-2:10PM ET",2026-05-15,2,86.39,BUY Up|BUY Down,YES
"Bitcoin Up or Down - May 15, 2:00PM-2:05PM ET",2026-05-15,2,86.32,BUY Up|BUY Down,YES
"Bitcoin Up or Down - May 15, 1:55PM-2:00PM ET",2026-05-15,2,115.67,BUY Up|BUY Down,YES
"Bitcoin Up or Down - May 15, 1:50PM-1:55PM ET",2026-05-15,2,115.67,BUY Up|BUY Down,YES
"Bitcoin Up or Down - May 15, 1:45PM-1:50PM ET",2026-05-15,2,155.27,BUY Up|BUY Down,YES
"Bitcoin Up or Down - May 15, 1:40PM-1:45PM ET",2026-05-15,2,198.01,BUY Up|BUY Down,YES
"Bitcoin Up or Down - May 15, 1:35PM-1:40PM ET",2026-05-15,2,158.41,BUY Up|BUY Down,YES
"Bitcoin Up or Down - May 15, 1:30PM-1:35PM ET",2026-05-15,2,197.22,BUY Up|BUY Down,YES
"Bitcoin Up or Down - May 15, 1:25PM-1:30PM ET",2026-05-15,2,186.62,BUY Up|BUY Down,YES
"Bitcoin Up or Down - May 15, 1:20PM-1:25PM ET",2026-05-15,2,120.38,BUY Up|BUY Down,YES
"Bitcoin Up or Down - May 15, 1:15PM-1:20PM ET",2026-05-15,2,94.42,BUY Up|BUY Down,YES
"Bitcoin Up or Down - May 15, 1:10PM-1:15PM ET",2026-05-15,2,126.85,BUY Up|BUY Down,YES
"Bitcoin Up or Down - May 15, 1:05PM-1:10PM ET",2026-05-15,2,92.10,BUY Up|BUY Down,YES
"Bitcoin Up or Down - May 15, 1:00PM-1:05PM ET",2026-05-15,2,115.93,BUY Up|BUY Down,YES
"Bitcoin Up or Down - May 15, 12:55PM-1:00PM ET",2026-05-15,2,64.68,BUY Up|BUY Down,YES
"Bitcoin Up or Down - May 15, 12:50PM-12:55PM ET",2026-05-15,2,79.24,BUY Up|BUY Down,YES
"Bitcoin Up or Down - May 15, 12:30PM-12:35PM ET",2026-05-15,2,88.47,BUY Up|BUY Down,YES
"Bitcoin Up or Down - May 15, 10:45AM-10:50AM ET",2026-05-15,2,71.49,BUY Up|BUY Down,YES
"Bitcoin Up or Down - May 15, 10:35AM-10:40AM ET",2026-05-15,2,149.69,BUY Up|BUY Down,YES
"Bitcoin Up or Down - May 15, 10:25AM-10:30AM ET",2026-05-15,2,109.04,BUY Up|BUY Down,YES
"Bitcoin Up or Down - May 14, 6:25PM-6:30PM ET",2026-05-14,2,33.17,BUY Up|BUY Down,YES
"Bitcoin Up or Down - May 14, 6:20PM-6:25PM ET",2026-05-14,2,30.82,BUY Up|BUY Down,YES
"Bitcoin Up or Down - May 14, 6:15PM-6:20PM ET",2026-05-14,2,37.76,BUY Up|BUY Down,YES
"Bitcoin Up or Down - May 14, 6:10PM-6:15PM ET",2026-05-14,2,33.17,BUY Up|BUY Down,YES
"Bitcoin Up or Down - May 14, 4:00PM-4:05PM ET",2026-05-14,2,100.00,BUY Up|BUY Down,YES
"Bitcoin Up or Down - May 14, 3:55PM-4:00PM ET",2026-05-14,2,100.97,BUY Up|BUY Down,YES
"Bitcoin Up or Down - May 14, 12:20AM-12:25AM ET",2026-05-14,2,100.00,BUY Up|BUY Down,YES
"Bitcoin Up or Down - May 14, 12:15AM-12:20AM ET",2026-05-14,2,149.50,BUY Up|BUY Down,YES
"Bitcoin Up or Down - May 14, 12:10AM-12:15AM ET",2026-05-14,2,100.00,BUY Up|BUY Down,YES
"Bitcoin Up or Down - May 13, 11:45PM-11:50PM ET",2026-05-14,2,99.96,BUY Up|BUY Down,YES
"Bitcoin Up or Down - May 12, 11:40AM-11:45AM ET",2026-05-12,2,2.62,BUY Up|BUY Down,YES
"Bitcoin Up or Down - May 12, 10:40AM-10:45AM ET",2026-05-12,2,16.00,BUY Up|BUY Down,YES
"Bitcoin Up or Down - May 12, 10:35AM-10:40AM ET",2026-05-12,2,12.97,BUY Up|BUY Down,YES
"Bitcoin Up or Down - May 12, 8:40AM-8:45AM ET",2026-05-12,2,16.00,BUY Up|BUY Down,YES
"Bitcoin Up or Down - May 12, 8:35AM-8:40AM ET",2026-05-12,2,13.03,BUY Up|BUY Down,YES
"Bitcoin Up or Down - May 12, 8:05AM-8:10AM ET",2026-05-12,2,16.00,BUY Up|BUY Down,YES
"Bitcoin Up or Down - May 12, 7:50AM-7:55AM ET",2026-05-12,2,16.00,BUY Up|BUY Down,YES
"Bitcoin Up or Down - May 12, 7:40AM-7:45AM ET",2026-05-12,2,16.00,BUY Up|BUY Down,YES
"Bitcoin Up or Down - May 12, 7:25AM-7:30AM ET",2026-05-12,2,13.03,BUY Up|BUY Down,YES
"Bitcoin Up or Down - May 12, 7:20AM-7:25AM ET",2026-05-12,2,16.00,BUY Up|BUY Down,YES
"Bitcoin Up or Down - May 12, 7:15AM-7:20AM ET",2026-05-12,2,24.08,BUY Up|BUY Down,YES
"Bitcoin Up or Down - May 12, 7:10AM-7:15AM ET",2026-05-12,2,16.00,BUY Up|BUY Down,YES
"Bitcoin Up or Down - May 12, 6:40AM-6:45AM ET",2026-05-12,2,15.99,BUY Up|BUY Down,YES
"Bitcoin Up or Down - May 12, 6:15AM-6:20AM ET",2026-05-12,2,12.97,BUY Up|BUY Down,YES
"Bitcoin Up or Down - May 12, 6:10AM-6:15AM ET",2026-05-12,2,16.00,BUY Up|BUY Down,YES
"Bitcoin Up or Down - May 12, 6:05AM-6:10AM ET",2026-05-12,2,16.00,BUY Up|BUY Down,YES
"Bitcoin Up or Down - May 12, 5:55AM-6:00AM ET",2026-05-12,2,13.03,BUY Up|BUY Down,YES
"Bitcoin Up or Down - May 12, 5:45AM-5:50AM ET",2026-05-12,2,16.00,BUY Up|BUY Down,YES
"Bitcoin Up or Down - May 12, 5:35AM-5:40AM ET",2026-05-12,2,16.00,BUY Up|BUY Down,YES
"Bitcoin Up or Down - May 12, 5:25AM-5:30AM ET",2026-05-12,2,16.00,BUY Up|BUY Down,YES
"Bitcoin Up or Down - May 12, 5:20AM-5:25AM ET",2026-05-12,2,16.00,BUY Up|BUY Down,YES
"Bitcoin Up or Down - May 12, 5:05AM-5:10AM ET",2026-05-12,2,16.00,BUY Up|BUY Down,YES
"Bitcoin Up or Down - May 12, 4:50AM-4:55AM ET",2026-05-12,2,58.43,BUY Up|BUY Down,YES
"Bitcoin Up or Down - May 12, 4:45AM-4:50AM ET",2026-05-12,2,14.12,BUY Up|BUY Down,YES
"Bitcoin Up or Down - May 12, 4:40AM-4:45AM ET",2026-05-12,2,16.00,BUY Up|BUY Down,YES
"Bitcoin Up or Down - May 12, 4:30AM-4:35AM ET",2026-05-12,2,16.00,BUY Up|BUY Down,YES
"Bitcoin Up or Down - May 12, 4:15AM-4:20AM ET",2026-05-12,2,16.00,BUY Up|BUY Down,YES
"Bitcoin Up or Down - May 12, 4:05AM-4:10AM ET",2026-05-12,2,24.09,BUY Up|BUY Down,YES
"Bitcoin Up or Down - May 8, 12:50PM-12:55PM ET",2026-05-08,2,47.70,BUY Up|BUY Down,YES
"Bitcoin Up or Down - May 8, 12:45PM-12:50PM ET",2026-05-08,2,47.70,BUY Up|BUY Down,YES
"Bitcoin Up or Down - May 8, 12:40PM-12:45PM ET",2026-05-08,2,47.70,BUY Up|BUY Down,YES
"Bitcoin Up or Down - May 8, 12:35PM-12:40PM ET",2026-05-08,2,47.70,BUY Up|BUY Down,YES
"Bitcoin Up or Down - May 8, 12:30PM-12:35PM ET",2026-05-08,2,47.70,BUY Up|BUY Down,YES
"Bitcoin Up or Down - May 8, 12:25PM-12:30PM ET",2026-05-08,2,47.71,BUY Up|BUY Down,YES
"Bitcoin Up or Down - April 26, 4:50PM-4:55PM ET",2026-04-26,2,47.29,BUY Up|BUY Down,YES
"Bitcoin Up or Down - April 26, 4:40PM-4:45PM ET",2026-04-26,2,23.20,BUY Up|BUY Down,YES
"Bitcoin Up or Down - April 26, 4:30PM-4:35PM ET",2026-04-26,2,42.18,BUY Up|BUY Down,YES
"Bitcoin Up or Down - April 26, 4:25PM-4:30PM ET",2026-04-26,2,27.80,BUY Up|BUY Down,YES
"Bitcoin Up or Down - April 26, 4:20PM-4:25PM ET",2026-04-26,2,19.00,BUY Up|BUY Down,YES
"Bitcoin Up or Down - April 26, 4:15PM-4:20PM ET",2026-04-26,2,35.35,BUY Up|BUY Down,YES
"Bitcoin Up or Down - April 26, 4:10PM-4:15PM ET",2026-04-26,2,17.12,BUY Up|BUY Down,YES
"Bitcoin Up or Down - April 26, 4:05PM-4:10PM ET",2026-04-26,2,28.66,BUY Up|BUY Down,YES
"Bitcoin Up or Down - April 26, 4:00PM-4:05PM ET",2026-04-26,2,18.53,BUY Up|BUY Down,YES
"Bitcoin Up or Down - April 26, 3:55PM-4:00PM ET",2026-04-26,2,35.73,BUY Up|BUY Down,YES
"Bitcoin Up or Down - April 26, 3:45PM-3:50PM ET",2026-04-26,2,21.80,BUY Up|BUY Down,YES
"Bitcoin Up or Down - April 26, 3:40PM-3:45PM ET",2026-04-26,2,19.35,BUY Up|BUY Down,YES
"Bitcoin Up or Down - April 26, 3:30PM-3:35PM ET",2026-04-26,2,16.48,BUY Up|BUY Down,YES
"Bitcoin Up or Down - April 26, 3:25PM-3:30PM ET",2026-04-26,2,17.35,BUY Up|BUY Down,YES
"Bitcoin Up or Down - April 26, 3:20PM-3:25PM ET",2026-04-26,2,16.67,BUY Up|BUY Down,YES
"Bitcoin Up or Down - April 26, 3:15PM-3:20PM ET",2026-04-26,2,22.44,BUY Up|BUY Down,YES
"Bitcoin Up or Down - April 26, 3:10PM-3:15PM ET",2026-04-26,2,14.54,BUY Up|BUY Down,YES
"Bitcoin Up or Down - April 26, 3:05PM-3:10PM ET",2026-04-26,2,17.15,BUY Up|BUY Down,YES
"Bitcoin Up or Down - April 26, 3:00PM-3:05PM ET",2026-04-26,2,15.11,BUY Up|BUY Down,YES
